,Home,winningTeam,winningScore,losingTeam,losingScore,Pace_Home,Pace_AWAY,FG_PpercentHome,FG_PpercentAWAY,TOV_Home,TOV_AWAY,ORB_Home,ORB_AWAY,FT_Rate_Home,FT_Rate_AWAY,Off_Rat_Home,Off_Rat_AWAY,date
0,Cleveland,Orlando,105,Cleveland,94,92.8,92.8,.447,.568,9.4,14.4,27.1,20.0,.212,.160,101.3,113.1,2021-01-06
0,Washington,Philadelphia,141,Washington,136,109.7,109.7,.585,.728,10.6,14.3,20.9,3.7,.277,.284,123.9,128.5,2021-01-06
0,Toronto,Phoenix,123,Toronto,115,93.6,93.6,.582,.608,11.4,9.7,23.3,20.0,.291,.265,122.8,131.4,2021-01-06
0,Chicago,Sacramento,128,Chicago,124,98.3,98.3,.602,.593,12.3,6.4,27.0,26.7,.129,.220,126.2,130.3,2021-01-06
0,Philadelphia,Brooklyn,122,Philadelphia,109,109.6,109.6,.523,.531,17.3,9.9,9.8,20.4,.207,.196,99.4,111.3,2021-01-07
0,Dallas,Dallas,124,Denver,117,96.0,96.0,.575,.521,11.4,10.9,15.6,19.6,.276,.165,117.0,110.4,2021-01-07
0,San Antonio,San Antonio,118,LA Lakers,109,97.8,97.8,.554,.558,5.7,12.0,13.3,20.9,.174,.151,120.7,111.5,2021-01-07
0,Cleveland,Cleveland,94,Memphis,90,91.9,91.9,.538,.500,14.8,17.2,15.9,26.8,.114,.084,102.3,97.9,2021-01-07
0,Minnesota,Portland,135,Minnesota,117,106.6,106.6,.495,.644,13.0,13.0,28.3,15.4,.269,.211,109.7,126.6,2021-01-07
0,Washington,Boston,116,Washington,107,105.0,105.0,.528,.547,15.2,17.5,15.6,26.2,.159,.256,101.9,110.5,2021-01-08
0,Phoenix,Detroit,110,Phoenix,105,96.1,96.1,.544,.472,17.8,12.0,19.6,18.0,.066,.278,99.0,103.7,2021-01-08
0,LA Clippers,Golden State,115,LA Clippers,105,93.7,93.7,.566,.610,16.9,14.3,25.6,25.0,.133,.183,112.1,122.8,2021-01-08
0,Orlando,Houston,132,Orlando,90,96.5,96.5,.427,.681,11.1,7.7,17.6,17.5,.157,.088,93.3,136.8,2021-01-08
0,Chicago,LA Lakers,117,Chicago,115,97.3,97.3,.560,.580,11.0,13.9,22.0,23.8,.143,.284,118.2,120.2,2021-01-08
0,Brooklyn,Memphis,115,Brooklyn,110,103.3,103.3,.556,.526,18.1,10.3,10.5,24.0,.247,.122,106.5,111.4,2021-01-08
0,Utah,Utah,131,Milwaukee,118,104.4,104.4,.634,.515,8.9,10.1,21.7,18.4,.082,.173,125.5,113.0,2021-01-08
0,Charlotte,Charlotte,118,New Orleans,110,94.0,94.0,.563,.591,12.5,17.7,38.1,25.6,.230,.247,125.6,117.1,2021-01-08
0,Oklahoma City,Oklahoma City,101,New York,89,95.4,95.4,.500,.401,10.3,3.7,22.4,17.7,.161,.125,105.8,93.3,2021-01-08
0,Toronto,Toronto,144,Sacramento,123,98.9,98.9,.692,.660,10.6,10.5,34.3,8.6,.198,.198,145.6,124.3,2021-01-08
0,Atlanta,Charlotte,113,Atlanta,105,95.0,95.0,.461,.617,12.1,14.6,32.7,16.7,.258,.234,110.5,119.0,2021-01-09
0,Orlando,Dallas,112,Orlando,98,96.0,96.0,.461,.620,8.4,16.4,20.8,15.4,.180,.177,102.1,116.6,2021-01-09
0,Phoenix,Phoenix,125,Indiana,117,98.0,98.0,.574,.543,1.9,8.9,9.3,26.5,.181,.185,127.6,119.4,2021-01-09
0,Cleveland,Milwaukee,100,Cleveland,90,93.1,93.1,.454,.512,13.8,14.0,29.2,25.0,.126,.167,96.7,107.5,2021-01-09
0,San Antonio,San Antonio,125,Minnesota,122,95.9,95.9,.500,.578,5.0,13.4,22.2,23.4,.238,.115,118.0,115.2,2021-01-09
0,Denver,Denver,115,Philadelphia,103,96.8,96.8,.567,.471,15.0,13.0,34.9,40.0,.144,.058,118.8,106.4,2021-01-09
0,Portland,Portland,125,Sacramento,99,104.9,104.9,.525,.457,6.8,13.5,18.0,12.8,.200,.309,119.1,94.3,2021-01-09
0,Miami,Miami,128,Washington,124,108.3,108.3,.581,.520,13.3,5.1,23.8,12.1,.215,.212,118.2,114.5,2021-01-09
0,Oklahoma City,Oklahoma City,129,Brooklyn,116,103.9,103.9,.628,.565,9.3,15.1,7.5,16.2,.178,.235,124.1,111.6,2021-01-10
0,Utah,Utah,96,Detroit,86,88.1,88.1,.494,.391,12.4,6.8,36.4,19.0,.183,.207,109.0,97.6,2021-01-10
0,Toronto,Golden State,106,Toronto,105,100.1,100.1,.474,.478,8.6,12.9,25.0,25.5,.146,.183,104.9,105.9,2021-01-10
0,LA Lakers,LA Lakers,120,Houston,102,105.3,105.3,.560,.478,13.6,17.3,25.0,25.0,.198,.178,114.0,96.9,2021-01-10
0,Chicago,LA Clippers,130,Chicago,127,100.6,100.6,.727,.598,20.7,8.8,11.5,25.5,.195,.217,126.2,129.2,2021-01-10
0,San Antonio,Minnesota,96,San Antonio,88,96.0,96.0,.426,.475,9.1,12.5,17.3,20.0,.085,.235,91.7,100.0,2021-01-10
0,Denver,Denver,114,New York,89,91.6,91.6,.625,.473,11.8,15.8,22.2,18.6,.107,.257,124.5,97.2,2021-01-10
0,Philadelphia,Atlanta,112,Philadelphia,94,98.6,98.6,.446,.460,8.4,6.7,17.0,25.5,.130,.212,95.4,113.6,2021-01-11
0,New York,Charlotte,109,New York,88,90.8,90.8,.443,.571,14.5,10.2,34.7,13.5,.126,.256,96.9,120.1,2021-01-11
0,Memphis,Memphis,101,Cleveland,91,93.6,93.6,.545,.518,14.7,16.2,18.9,23.3,.205,.073,108.0,97.3,2021-01-11
0,Milwaukee,Milwaukee,121,Orlando,99,98.1,98.1,.577,.489,12.3,15.7,27.5,31.9,.176,.110,123.3,100.9,2021-01-11
0,Toronto,Portland,112,Toronto,111,98.5,98.5,.556,.542,13.7,12.1,17.1,18.2,.135,.265,112.6,113.7,2021-01-11
0,Indiana,Sacramento,127,Indiana,122,103.9,103.9,.552,.649,10.3,16.1,21.3,20.6,.155,.214,117.4,122.2,2021-01-11
0,Phoenix,Washington,128,Phoenix,107,96.4,96.4,.471,.603,5.6,6.3,17.0,29.2,.287,.185,111.0,132.8,2021-01-11
0,Denver,Brooklyn,122,Denver,116,95.9,95.9,.602,.709,12.0,17.4,21.4,25.8,.114,.127,121.0,127.2,2021-01-12
0,Utah,Utah,117,Cleveland,87,93.2,93.2,.643,.433,15.2,11.1,26.3,24.0,.107,.100,125.5,93.3,2021-01-12
0,Indiana,Indiana,104,Golden State,95,100.8,100.8,.494,.455,12.4,13.2,21.7,20.0,.193,.157,103.2,94.2,2021-01-12
0,LA Lakers,LA Lakers,117,Houston,100,104.0,104.0,.583,.454,17.3,11.1,25.6,18.5,.226,.124,112.5,96.1,2021-01-12
0,San Antonio,San Antonio,112,Oklahoma City,102,100.0,100.0,.484,.476,3.7,12.0,13.5,15.2,.211,.277,112.0,102.0,2021-01-12
0,Miami,Philadelphia,137,Miami,134,102.0,102.0,.553,.583,13.6,13.1,28.0,33.3,.183,.176,119.0,121.6,2021-01-12
0,Dallas,Dallas,104,Charlotte,93,98.0,98.0,.495,.430,8.8,9.4,25.5,26.8,.094,.070,106.1,94.9,2021-01-13
0,Milwaukee,Milwaukee,110,Detroit,101,97.7,97.7,.594,.467,13.3,13.6,22.7,25.5,.106,.163,112.6,103.4,2021-01-13
0,New Orleans,LA Clippers,111,New Orleans,106,90.9,90.9,.534,.595,8.7,10.4,26.7,7.7,.136,.311,116.6,122.1,2021-01-13
0,Memphis,Memphis,118,Minnesota,107,99.3,99.3,.509,.483,5.9,10.7,28.8,25.6,.094,.222,118.9,107.8,2021-01-13
0,Brooklyn,Brooklyn,116,New York,109,91.1,91.1,.571,.538,5.7,8.5,27.9,26.1,.132,.109,127.4,119.7,2021-01-13
0,LA Lakers,LA Lakers,128,Oklahoma City,99,96.8,96.8,.584,.488,7.9,10.4,26.7,19.1,.179,.174,132.2,102.2,2021-01-13
0,Portland,Portland,132,Sacramento,126,96.6,96.6,.617,.637,7.3,12.0,26.1,23.5,.233,.226,136.6,130.4,2021-01-13
0,Golden State,Denver,114,Golden State,104,103.7,103.7,.537,.517,17.2,11.3,11.1,20.8,.210,.233,100.3,110.0,2021-01-14
0,Miami,Philadelphia,125,Miami,108,102.7,102.7,.568,.640,17.8,16.3,23.1,13.5,.198,.244,105.2,121.7,2021-01-14
0,Indiana,Indiana,111,Portland,87,94.1,94.1,.527,.443,10.7,16.5,31.0,27.5,.152,.115,118.0,92.5,2021-01-14
0,Houston,Houston,109,San Antonio,105,98.8,98.8,.564,.505,16.0,9.2,24.4,20.4,.140,.130,110.3,106.3,2021-01-14
0,Charlotte,Toronto,111,Charlotte,108,94.0,94.0,.569,.568,16.3,15.4,34.1,30.2,.103,.125,114.9,118.1,2021-01-14
0,Orlando,Boston,124,Orlando,97,97.6,97.6,.441,.608,9.6,9.4,27.8,16.2,.149,.193,99.3,127.0,2021-01-15
0,New York,Cleveland,106,New York,103,93.2,93.2,.543,.513,11.9,13.8,17.1,30.4,.171,.316,110.6,113.8,2021-01-15
0,New Orleans,LA Lakers,112,New Orleans,95,95.9,95.9,.529,.500,18.3,5.4,24.4,26.0,.047,.204,99.0,116.8,2021-01-15
0,Dallas,Milwaukee,112,Dallas,109,99.6,99.6,.531,.521,8.1,8.5,21.2,28.6,.062,.125,109.4,112.4,2021-01-15
0,Chicago,Oklahoma City,127,Chicago,125,105.3,105.3,.588,.529,19.0,8.7,19.6,13.0,.198,.152,107.5,109.2,2021-01-15
0,LA Clippers,LA Clippers,138,Sacramento,100,94.2,94.2,.685,.518,8.4,13.1,34.3,20.5,.180,.141,146.5,106.2,2021-01-15
0,Atlanta,Utah,116,Atlanta,92,103.1,103.1,.440,.576,13.2,16.2,16.3,26.7,.120,.109,89.2,112.5,2021-01-15
0,Orlando,Brooklyn,122,Orlando,115,102.5,102.5,.537,.641,10.5,17.6,19.6,12.1,.137,.282,112.2,119.0,2021-01-16
